Regulatory Compliance Code,Regulatory Compliance Version,Family Control Code,Family Control Name,Family Control Description,Objective Code ,Objective Name,"Objective Description 
",Control Code ,Control Name ,Control Description,Implementation Specification,Required for Certification Indicator,Compliance Level,Control Type,Control Topics
HITRUST,2016V8.0,0,Information Security Management Program,To implement and manage an Information Security Management Program.,0.01,Information Security Management Program,To implement and manage an Information Security Management Program.,00.a,Information Security Management Program,"An Information Security Management Program (ISMP) shall be defined in terms of the characteristics of the business, and established and managed including monitoring, maintenance and improvement.
","An Information Security Management Program (ISMP) shall be documented that
addresses the overall Security Program of the organization. Management support for the ISMP shall be demonstrated through signed acceptance or approval by management. The ISMP shall consider all the HITRUST ControlObjectives and document any excluded control domains and the reasons for their exclusion. The
ISMP shall be updated at least annually or when there are significant changes in the environment.
The organization shall formally establish, implement, operate, monitor, review, maintain and improve the ISMP.

The ISMP shall be formally documented, and such records shall be protected, controlled and retained according to federal, state and organizational requirements.

The ISMP shall incorporate a Plan, Do, Check, Act (POCA) cycle for continuous imorovement in the ISMP  oarticularlv as information is obtained that could improve the ISMP, or indicates any shortcomings of the ISMP.
Management shall provide evidence of its commitment to the establishment, implementation, operation, monitoring, review, maintenance and improvement of the  ISMP.

The organization shall determine and provide the resources needed to establish, implement, operate, monitor, review, maintain and improve an ISMP.

The organization shall ensure that all personnel who are assigned responsibilities defined in the ISMP are competent to perform the required tasks. The organization shall also ensure that all relevant personnel are aware of the
relevance and importance of their information security activities and how they contribute to the achievement of the ISMP objectives.

The organization shall conduct internal ISMP audits at planned intervals to determine the continuing suitability, adequacy and effectiveness of the program.

Management shall review the organization's ISMP at planned intervals (at least once a year) to ensure its continuing suitability, adequacy and effectiveness. This review shall include assessing opportunities for improvement and the need for changes to the ISMP, including the information security policy and information security objectives. The results of the reviews shall be clearly documented and records maintained.

The organization shall continually improve the effectiveness of the ISMP through the use of the information security policy, information security objectives, audit results, analysis of monitored events, corrective and preventive actions and management review.
",Y,,"
Organizational",Audit and Accountability; Documentation and Records; IT Organization and Management Roles and Responsibilities; Monitoring; Planning; Policies and Procedures; Risk Management and Assessments
HITRUST,2016V8.0,1,Access Control Policy,"To control access to information, information assets, and business processes based on business and security requirements.",1.01,Business Requirement for Access Control,"To control access to information, information assets, and business processes based on business and security requirements.",01.a,Access Control Policy,"An access control policy shall be established, documented, and reviewed based on business and security requirements for access. ","Access control rules shall account for and reflect the organization's policies for information dissemination and authorization, and these rules shall be supported
by formal procedures and clear1y defined responsibilities. Access control rules and rights for each user or group of users shall be clearly stated. Access controls are both logical and physical and these shall be considered together. Users and service providers shall be given a clear statement of the business requirements to be met by access controls.

Specifically, the access control program shall take account of the following:

1. security requirements of individual business applications;
2. information dissemination and authorization (e.g., need-to-know, need to share, and least privilege principles; security levels; and classification of information.)
3. relevant isolation and  contractual obligations reaardina orotection of access to data or services;
4. standard user access profiles for common job roles in the organization;
5. requirements for formal authorization of access requests;
6. requirements for emergency access;
7. requirements for periodic review of access controls; and
8. removal of access rights.

The organization shall develop and disseminate/communicate a formal access control program (e.g., through policies and procedures) and review and update the program annually.
All information related to the business applications and the risks the information is facing shall be identified. The access control and information classification policies of different systems and networks shall be consistent.
Access rights shall be managed in a distributed and networked environment ensuring all types of connections available are recognized. Access control roles (e.g., access request, access authorization, access administration) shall be segregated.
",Y,,"
Organizational",Audit and Accountability; Authentication; Authorization; Policies and Procedures; User Access
HITRUST,2016V8.0,1,Access Control Policy,"To control access to information, information assets, and business processes based on business and security requirements.",1.02,Authorized Access to Information Systems,"To ensure authorized user accounts are registered, tracked and periodically validated to prevent unauthorized access to information systems.",01.b,User Registration,There shall be a formal documented and implemented user registration and de-registration procedure for granting and revoking access.,"User registration and de-registration shall formally address establishing, activating, modifying, reviewing, disabling, and removing accounts. Account types shall be identified (individual, shared/group, system, application, guest/anonymous, emergency and temporary) and conditions for group and role membership shall be established.

Access to the information systems shall be granted based on a valid need-to­ know/need-to-share that is determined by assigned official duties and intended system usage. Such usage/access shall be granular enough to support patient (e.g., ePHI) or participant (e.g., PMI) consent (see CSF controls 06.d, 13.b thru 13.g) that has been captured by the PMI organization and should limit access, use, or disclosure based on what is necessary to satisfy a particular purpose or carry out a function. Access granted shall satisfy all personnel security criteria. Proper identification shall be required for requests to establish information system accounts and approval of all such requests. Guest/anonymous, shared/group, emergency and temporary accounts shall be specifically authorized and use monitored. Unnecessary accounts shall be removed, disabled or otherwise secured. Account managers shall be notified when users are terminated or transferred, their information system usage or need-to-know/need-to-share changes, or when accounts (including shared/group, emergency, and temporary
accounts) are no longer required. Shared/arouo account credentials shall be modified when users are removed from the group.

The access control procedure for user registration and de-registration shall:
1. communicate password procedures and policies to all users who have system access
2. check that the user has authorization from the system owner for the use of the information system or service;
3. separate approval for access rights from management;
4. check that the level of access granted is appropriate to the business purpose and is consistent with organizational security policy (e.g., it is consistent with sensitivity and risks associated with the information and/or information system, it does not compromise segregation of duties);
5. give users a written statement of their access rights;
6. require users to sign statements indicating that they understand the conditions of access;
7. ensure service providers do not provide access until authorization procedures have been completed;
8. ensure default accounts are removed and/or renamed;
9. maintain a formal record of all persons registered to use the service;
10. remove or block critical access rights of users who have changed roles or jobs or left the organization immediately and remove or block non-critical access within 24 hours; and
11. automatically remove or disable accounts that have been inactive for a period of sixty (60) days or more.
The organization shall require that the registration process to receive hardware administrative tokens and credentials used for two (2)-factor authentication be verified in person before a designated registration authority with authorization by a designated organizational official (e.g., a supervisor or other individual defined in an applicable security plan).

Organizations shall not use group, shared or generic accounts and passwords.

The organization shall employ automated mechanisms to support the management of information system accounts.

In addition to assigning a unique ID and password, at least one of the following methods shall be employed to authenticate all users:

1. token devices (e.g., SecurelD, certificates, or public key); or
2. biometrics.
The organization shall automatically disable emergency accounts within twenty­ four (24) hours and temporary accounts with a fixed duration not to exceed thirty (30) days.
",Y,,"
System",Authorization; Monitoring; Policies and Procedures; User Access
HITRUST,2016V8.0,1,Access Control Policy,"To control access to information, information assets, and business processes based on business and security requirements.",1.02,Authorized Access to Information Systems,"To ensure authorized user accounts are registered, tracked and periodically validated to prevent unauthorized access to information systems.",01.c,Privilege Management,"The allocation and use of privileges to information systems and services shall be restricted and controlled. Special attention shall be given to the allocation of privileged access rights, which allow users to override system controls.","The allocation of privileges for all systems and system components shall be controlled through a formal authorization process. The access privileges
associated with each system product (e.g., operating system, database management system and each application) and the users to which they need to
be allocated shall be identified. Privileges shall be allocated to users on a need-lo­ use basis and on an event-by-event basis in line with the access control policy
(i.e. the minimum requirement for their functional role, e.g., user or administrator, only when needed).

At a minimum, the organization explicitly authorizes access to the following list of security functions (deployed in hardware, software, and firmware) and security­ relevant information:

1. Setting/modifying audit logs and auditing behavior;
2. Setting/modifying boundary protection system rules;
3. Configuring/modifying access authorizations (i.e., permissions, privileges);
4. Setting/modifying authentication parameters; and
5. Setting/modifying system configurations and parameters.

An authorization process and a record of all privileges allocated shall be maintained.

Role-based access control shall be implemented and capable of mapping each user to one or more roles, and each role to one or more system functions.

The development and use of system routines shall be promoted to avoid the need to grant privileges to users. The development and use of programs which avoid the need to run with elevated privileges shall be promoted.

Elevated privileges shall be assigned to a different user ID from those used for normal business use. All users shall access privileged services in a single role (users registered with more than one role shall designate a single role during each system access session). The use of system administration privileges (any feature
or facility of an information system that enables the user to override system or
application controls) shall be minimized. Access to privileged functions (e.g., system-level software, administrator tools, scripts, utilities) deployed in hardware, software, and firmware shall be restricted. Security relevant information shall be restricted to explicitly authorized individuals.
The organization shall facilitate information sharing by enabling authorized users to determine whether access authorizations assigned to business partners match the access restrictions on information for specific circumstances in which user discretion is allowed. Also employs manual processes or automated mechanisms to assist users in making information sharing/collaboration decisions.

The access control system for the system components storing, processing or transmitting covered information shall be set with a default ""deny-all"" setting.
The organization shall limit authorization to privileged accounts on information systems to a pre-defined subset of users and shall track and monitor privileged role assignments for anomalous behavior. The organization shall audit the execution of privileged functions on information systems and ensure information systems prevent non-privileged users from executing privileged functions to include disabling, circumventing, or altering implemented security safeguards (e.g., IDS/IPS or malicious code protection mechanisms).

All file system access not explicitly required for system, application, and administrator functionality shall be disabled.

Access to all hypervisor management functions or administrative consoles for systems hosting virtualized systems shall be restricted to personnel based upon the principle of least privilege and supported through technical controls (e.g., two­ factor authentication, audit trails, IP address filtering, firewalls, and TLS encapsulated communications to the administrative consoles).

Contractors shall be provided with minimal system and physical access, and shall agree to and support the organization's security requirements. The contractor selection process shall assess the contractor's ability to adhere to and support the organization's security policy and procedures.

The organization ensure only authorized users are permitted to access those files, directories, drives, workstations, servers, network shares, ports, protocols, and services that are expressly required for the performance of the users' job duties.
",N,,"
System",Authorization; User Access
HITRUST,2016V8.0,1,Access Control Policy,"To control access to information, information assets, and business processes based on business and security requirements.",1.02,Authorized Access to Information Systems,"To ensure authorized user accounts are registered, tracked and periodically validated to prevent unauthorized access to information systems.",01.d,User Password Management,Passwords shall be controlled through a formal management process.,"The following controls shall be implemented to maintain the security of passwords:

1. passwords shall be prohibited from being displayed when entered;
2. passwords shall be changed whenever there is any indication of possible system or password compromise; and
3. user identity shall be verified before performing password resets.

The allocation of passwords shall be controlled through a formal management process:

1. the use of third parties or unprotected (clear text) electronic mail messages shall be avoided;
2. users shall acknowledge receipt of passwords;
3. default vendor passwords shall be altered following installation of systems or software;
4. when users are required to maintain their own passwords they shall be provided initially with a secure temporary password, which they are forced
to change immediately;
5. temporary passwords shall be changed at the first log-on;
6. temporary passwords shall be given to users in a secure manner;
7. passwords shall be changed at least every 90 days or based on the number of accesses;
8. passwords for privileged accounts shall be changed at least every 60 days;
9. passwords shall require at least eight (8) characters which are:
i. easy to remember;
ii. not based on any1hing somebody else could easily guess or obtain using person related information (e.g., names, telephone numbers, and dates of birth etc.);
iii. not vulnerable to dictionary attack (do not consist of words included in dictionaries);
iv. free of consecutive identical characters; and
v. a combination of alphabetic, upper and lower case characters, numbers, and special characters (combination of any three [3] of the above four [4] listed is acceptable).
10. passwords shall be prohibited from being reused for at least four (4) generations for users or six (6) generations for privileged users; and
11. at least four (4) changed characters are changed when new passwords are created.

Alternatively, passwords/phrases must have a strength (entropy) at least equivalent to the parameters specified above.

Password policies, applicable to mobile devices, shall be documented and enforced through technical controls on all company devices or devices approved for BYOD usage. and shall prohibit the changing of password/PI N lengths and
The following controls shall be implemented to maintain the security of passwords:

1. passwords shall be prohibited from being displayed when entered;
2. passwords shall be changed whenever there is any indication of possible system or password compromise; and
3. user identity shall be verified before performing password resets.

The allocation of passwords shall be controlled through a formal management process:

1. the use of third parties or unprotected (clear text) electronic mail messages shall be avoided;
2. users shall acknowledge receipt of passwords;
3. default vendor passwords shall be altered following installation of systems or software;
4. when users are required to maintain their own passwords they shall be provided initially with a secure temporary password, which they are forced
to change immediately;
5. temporary passwords shall be changed at the first log-on;
6. temporary passwords shall be given to users in a secure manner;
7. passwords shall be changed at least every 90 days or based on the number of accesses;
8. passwords for privileged accounts shall be changed at least every 60 days;
9. passwords shall require at least eight (8) characters which are:
i. easy to remember;
ii. not based on any1hing somebody else could easily guess or obtain using person related information (e.g., names, telephone numbers, and dates of birth etc.);
iii. not vulnerable to dictionary attack (do not consist of words included in dictionaries);
iv. free of consecutive identical characters; and
v. a combination of alphabetic, upper and lower case characters, numbers, and special characters (combination of any three [3] of the above four [4] listed is acceptable).
10. passwords shall be prohibited from being reused for at least four (4) generations for users or six (6) generations for privileged users; and
11. at least four (4) changed characters are changed when new passwords are created.

Alternatively, passwords/phrases must have a strength (entropy) at least equivalent to the parameters specified above.

Password policies, applicable to mobile devices, shall be documented and enforced through technical controls on all company devices or devices approved for BYOD usage. and shall prohibit the changing of password/PI N lengths and
The following controls shall be implemented to maintain the security of passwords:

1. passwords shall be prohibited from being displayed when entered;
2. passwords shall be changed whenever there is any indication of possible system or password compromise; and
3. user identity shall be verified before performing password resets.

The allocation of passwords shall be controlled through a formal management process:

1. the use of third parties or unprotected (clear text) electronic mail messages shall be avoided;
2. users shall acknowledge receipt of passwords;
3. default vendor passwords shall be altered following installation of systems or software;
4. when users are required to maintain their own passwords they shall be provided initially with a secure temporary password, which they are forced
to change immediately;
5. temporary passwords shall be changed at the first log-on;
6. temporary passwords shall be given to users in a secure manner;
7. passwords shall be changed at least every 90 days or based on the number of accesses;
8. passwords for privileged accounts shall be changed at least every 60 days;
9. passwords shall require at least eight (8) characters which are:
i. easy to remember;
ii. not based on any1hing somebody else could easily guess or obtain using person related information (e.g., names, telephone numbers, and dates of birth etc.);
iii. not vulnerable to dictionary attack (do not consist of words included in dictionaries);
iv. free of consecutive identical characters; and
v. a combination of alphabetic, upper and lower case characters, numbers, and special characters (combination of any three [3] of the above four [4] listed is acceptable).
10. passwords shall be prohibited from being reused for at least four (4) generations for users or six (6) generations for privileged users; and
11. at least four (4) changed characters are changed when new passwords are created.

Alternatively, passwords/phrases must have a strength (entropy) at least equivalent to the parameters specified above.

Password policies, applicable to mobile devices, shall be documented and enforced through technical controls on all company devices or devices approved for BYOD usage. and shall prohibit the changing of password/PIN lengths and authentication requirements.
The following controls shall be implemented to maintain the security of passwords:

1. passwords shall be protected from unauthorized disclosure and modification when stored and transmitted;
2. passwords shall not be included in any automated log-on process (e.g., stored in a macro or function key);
3. all passwords shall be encrypted during transmission and storage on all system components;
4. users shall sign a statement to keep personal passwords confidential and to keep group passwords solely within the members of the group; and
5. temporary passwords shall be unique to an individual and shall not be guessable.

Persons who use electronic signatures based upon use of identification codes in combination with passwords shall employ controls to ensure their security and integrity. Such controls shall include:

1. maintaining the uniqueness of each combined identification code and password, such that no two individuals have the same combination of identification code and password.
2. ensuring that identification code and password issuances are periodically checked, recalled, or revised (e.g., to cover such events as password aging);
3. following loss management procedures to electronically de-authorize lost, stolen, missing or otherwise potentially compromised tokens, cards and other devices that bear or generate identification code or password information, and to issue temporary or permanent replacements using suitable, rigorous controls;
4. use of transaction safeguards to prevent unauthorized use of passwords and/or identification codes, and to detect and report in an immediate and urgent manner any attempts at their unauthorized use to the system security unit, and, as appropriate, to organization management; and
5. initial and periodic testing of devices, such as tokens or cards, that bear or generate identification code or password information to ensure that they function properly and have not been altered in an unauthorized manner.

",Y,,"
System",Authentication; Authorization; Cryptography; User Access; Password Management
HITRUST,2016V8.0,1,Access Control Policy,"To control access to information, information assets, and business processes based on business and security requirements.",1.02,Authorized Access to Information Systems,"To ensure authorized user accounts are registered, tracked and periodically validated to prevent unauthorized access to information systems.",01.e,Review of User Access Rights,All access rights shall be regularly reviewed by management via a formal documented process.,"The following procedures shall be carried out to ensure the regular review of access rights by management:
1. user's access rights shall be reviewed after any changes, such as promotion, demotion, or termination of employment, or other arrangement with a workforce member ends; and
2. user's access rights shall be reviewed and re-allocated when moving from one employment or workforce member arrangement to another within the same organization.
The organization shall maintain a documented list of authorized users of information assets. In addition:

1. all types of accounts shall be reviewed at least every 90 days;
2. critical system accounts shall be reviewed at least every 60 days;
3. user's access rights shall be reviewed at least every 90 days;
4. changes to access authorizations shall be reviewed at least every 90 days; and
5. authorizations for special privileged access rights shall be reviewed at least every 60 days.
",Y,,"
System",Audit and Accountability; Monitoring; User Access
HITRUST,2016V8.0,1,Access Control Policy,"To control access to information, information assets, and business processes based on business and security requirements.",1.03,User Responsibilities,"To prevent unauthorized user access, and compromise or theft of information and information assets.",01.f,Password Use,"
Users shall be made aware of their responsibilities for maintaining effective access controls and shall be required to follow good security practices in the selection and use of passwords and security of equipment.
","Users are made aware of the organization's password policies and requirements to:

1. keep passwords confidential;
2. avoid keeping a record (e.g., paper, software file or hand-held device) of passwords, unless this can be stored securely and the method of storing has been approved;
3. change passwords whenever there is any indication of possible system or password compromise;
4. not share individual user accounts or passwords;
5. not provide their password to anyone for any reason (to avoid compromising their user credentials through social engineering attacks)
6. not use the same password for business and non-business purposes; and
7. select quality passwords (see requirements in 01.d).

If users need to access multiple services, systems or platforms, and are required to maintain multiple separate passwords, they shall be advised that they may use a single, quality password for all services where the user is assured that a reasonable level of protection has been established for the storage of the password within each service, system or platform.
",Y,,"
Organizational",Authentication; Awareness and Training; Password Management
HITRUST,2016V8.0,1,Access Control Policy,"To control access to information, information assets, and business processes based on business and security requirements.",1.03,User Responsibilities,"To prevent unauthorized user access, and compromise or theft of information and information assets.",01.g,Unattended User Equipment,Users shall ensure that unattended equipment has appropriate protection.,"All users shall be made aware of the security requirements and procedures for protecting unattended equipment, as well as their responsibilities for implementing such protection.

Users shall be advised to:

1. terminate active sessions when finished, unless they can be secured by an appropriate locking mechanism (e.g.,a password protected screen saver);
2. log-off mainframe computers, servers, and office PCs when the session is finished (e.a. not iust switch off the PC screen or terminal)·
3. secure PCs or terminals from unauthorized use by a key lock or an equivalent control (e.g., password access) when not in use.

The organization shall safeguard information system output devices (e.g., printers) to help prevent unauthorized individuals from obtaining the output.
",N,,"
Organizational",Awareness and Training; Media and Assets
HITRUST,2016V8.0,1,Access Control Policy,"To control access to information, information assets, and business processes based on business and security requirements.",1.03,User Responsibilities,"To prevent unauthorized user access, and compromise or theft of information and information assets.",01.h,Clear Desk and Clear Screen Policy,A clear desk policy for papers and removable storage media and a clear screen policy for information assets shall be adopted.,"A clear desk policy for papers and removable storage media and a clear screen policy for information assets shall be developed and adopted, and communicated to all users. The clear desk and clear screen policy shall take into account the
information classifications, legal and contractual requirements, and the corresponding risks and cultural aspects of the organization.

The following practices shall be established:

1. covered or critical business information (e.g., on paper or on electronic storage media) shall be locked away (ideally in a safe or cabinet or other forms of security furniture) when not required, especially when the office is vacated;
2. computers and terminals shall be left logged off or protected with a screen and keyboard locking mechanism controlled by a password, token or similar user authentication mechanism that conceals information
previously visible on the display when unattended and shall be protected by key locks, passwords or other controls when not in use;
3. incoming and outgoing mail points and unattended facsimile machines shall be protected;
4. unauthorized use of photocopiers and other reproduction technology (e.g., scanners, digital cameras) shall be prevented;
5. documents containing covered or classified information shall be removed from printers, copiers, and facsimile machines immediately; and
6. when transporting documents with covered information within facilities and through inter-office mail, information shall not be visible through envelope windows, and envelopes shall be marked according to its classification level (e.g., ""Confidential"").
",Y,,"
Organizational",Awareness and Training; Data Loss Prevention; Documentation and Records; Media and Assets; Policies and Procedures
HITRUST,2016V8.0,1,Access Control Policy,"To control access to information, information assets, and business processes based on business and security requirements.",1.04,Network Access Control,To prevent unauthorized access to networked services.,01.i,Policy on the Use of Network Services,Users shall only be provided with access to internal and external network services that they have been specifically authorized to use. Authentication and authorization mechanisms shall be applied for users and equipment.,"The organization shall specify the networks and network services to which users are authorized access.
The organization shall:

1. determine who is allowed to access which network and networked services (see 01.i, level 1); and
2. specify the means that can be used to access networks and network services (e.g., the conditions for allowing access to a remote system). At a minimum, the organization manages all enterprise devices remotely
logging into the internal network, with remote control of their configuration, installed software, and patch levels. The organization shall also publish minimum security standards for access to the enterprise network by third­ party devices (e.g., subcontractors/vendors), and perform a security scan before allowing access.

The use of network services shall be consistent with the organization's business access control requirements.

Use of external information systems shall be managed effectively including:

1. information systems or components of information systems that are outside of the accreditation boundary established by the organization shall be identified as external information systems including:
i. information systems or components of information systems for which the organization typically has no direct control over the application of required security controls or the assessment of security control effectiveness shall be identified as external information systems;
ii. personally owned information systems (e.g., computers, cellular telephones, or personal digital assistants) shall be identified as external information systems; and
iii. privately owned computing and communications devices resident in commercial or public facilities (e.g., hotels, convention centers, or airports) shall be identified as external information systems.
2. authorized individuals shall be prohibited from using an external information system to access the information system or to process, store or transmit organization-controlled information except in situations where the organization:
i. can verify the employment of required security controls on the external system as specified in the organization’s information security policy and system security plan; or
ii. has approved information system connection or processing agreements with the organizational entity hosting the external information system.
The organization shall identify ports, services, and similar applications (e.g., protocols) necessary for business and provide the rationale or identify compensating controls implemented for those protocols considered to be insecure.
",Y,,"
Organizational",Authentication; Authorization; Network Segmentation; User Access
